cod_suc,nom_suc,tip_punto,ciudad,depto,latitud,longitud,activo
SUC0089,FinBank Sucursal Córdoba SUC0089,SUCURSAL,Córdoba,Córdoba,-31.396504,-64.172915,ACTIVO
SUC0090,FinBank Corresponsal Buenos Aires SUC0090,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.620181,-58.349758,ACTIVO
SUC0091,FinBank Sucursal Bogotá SUC0091,SUCURSAL,Bogotá,Cundinamarca,4.741656,-74.107365,INACTIVO
SUC0092,FinBank Sucursal Buenos Aires SUC0092,SUCURSAL,Buenos Aires,Buenos Aires,-34.568726,-58.424317,ACTIVO
SUC0093,FinBank Sucursal Bogotá SUC0093,SUCURSAL,Bogotá,Cundinamarca,4.732835,-74.083702,ACTIVO
SUC0094,FinBank Corresponsal Monterrey SUC0094,CORRESPONSAL,Monterrey,Nuevo León,25.637154,-100.291004,ACTIVO
SUC0095,FinBank Corresponsal Valparaíso SUC0095,CORRESPONSAL,Valparaíso,Valparaíso,-33.075316,-71.582289,ACTIVO
SUC0096,FinBank Sucursal Arequipa SUC0096,SUCURSAL,Arequipa,Arequipa,-16.43408,-71.502666,ACTIVO
SUC0097,FinBank Sucursal Santiago SUC0097,SUCURSAL,Santiago,Región Metropolitana,-33.445787,-70.663407,ACTIVO
SUC0098,FinBank Sucursal Medellín SUC0098,SUCURSAL,Medellín,Antioquia,6.255465,-75.559273,ACTIVO
SUC0099,FinBank Corresponsal Arequipa SUC0099,CORRESPONSAL,Arequipa,Arequipa,-16.414409,-71.571584,ACTIVO
SUC0100,FinBank Corresponsal Córdoba SUC0100,CORRESPONSAL,Córdoba,Córdoba,-31.445376,-64.175034,ACTIVO
SUC0101,FinBank Corresponsal Santiago SUC0101,CORRESPONSAL,Santiago,Región Metropolitana,-33.474975,-70.675313,ACTIVO
SUC0102,FinBank Sucursal Barranquilla SUC0102,SUCURSAL,Barranquilla,Atlántico,10.950471,-74.777285,ACTIVO
SUC0103,FinBank Sucursal Monterrey SUC0103,SUCURSAL,Monterrey,Nuevo León,25.651881,-100.344705,ACTIVO
SUC0104,FinBank Sucursal Medellín SUC0104,SUCURSAL,Medellín,Antioquia,6.235777,-75.610517,INACTIVO
SUC0105,FinBank Corresponsal Buenos Aires SUC0105,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.559094,-58.429647,ACTIVO
SUC0106,FinBank Corresponsal Medellín SUC0106,CORRESPONSAL,Medellín,Antioquia,6.19479,-75.596024,ACTIVO
SUC0107,FinBank Corresponsal Valparaíso SUC0107,CORRESPONSAL,Valparaíso,Valparaíso,-33.043378,-71.589237,ACTIVO
SUC0108,FinBank Sucursal Medellín SUC0108,SUCURSAL,Medellín,Antioquia,6.216142,-75.587616,ACTIVO
SUC0109,FinBank Corresponsal Santiago SUC0109,CORRESPONSAL,Santiago,Región Metropolitana,-33.419086,-70.646882,INACTIVO
SUC0110,FinBank Sucursal Buenos Aires SUC0110,SUCURSAL,Buenos Aires,Buenos Aires,-34.600288,-58.340907,ACTIVO
SUC0111,FinBank Sucursal Ciudad de México SUC0111,SUCURSAL,Ciudad de México,Ciudad de México,19.446875,-99.16963,ACTIVO
SUC0112,FinBank Sucursal Valparaíso SUC0112,SUCURSAL,Valparaíso,Valparaíso,-33.064465,-71.61723,ACTIVO
SUC0113,FinBank Sucursal Guadalajara SUC0113,SUCURSAL,Guadalajara,Jalisco,20.684901,-103.316408,ACTIVO
SUC0114,FinBank Corresponsal Lima SUC0114,CORRESPONSAL,Lima,Lima,-12.021498,-77.087591,ACTIVO
SUC0115,FinBank Corresponsal Ciudad de México SUC0115,CORRESPONSAL,Ciudad de México,Ciudad de México,19.460723,-99.118025,INACTIVO
SUC0116,FinBank Sucursal Bogotá SUC0116,SUCURSAL,Bogotá,Cundinamarca,4.744923,-74.059966,ACTIVO
SUC0117,FinBank Corresponsal Ciudad de México SUC0117,CORRESPONSAL,Ciudad de México,Ciudad de México,19.438997,-99.161404,ACTIVO
SUC0118,FinBank Corresponsal Cali SUC0118,CORRESPONSAL,Cali,Valle del Cauca,3.462189,-76.485627,ACTIVO
SUC0119,FinBank Sucursal Cali SUC0119,SUCURSAL,Cali,Valle del Cauca,3.498072,-76.57119,ACTIVO
SUC0120,FinBank Corresponsal Santiago SUC0120,CORRESPONSAL,Santiago,Región Metropolitana,-33.408097,-70.681769,ACTIVO
SUC0121,FinBank Sucursal Buenos Aires SUC0121,SUCURSAL,Buenos Aires,Buenos Aires,-34.584639,-58.368876,ACTIVO
SUC0122,FinBank Corresponsal Santiago SUC0122,CORRESPONSAL,Santiago,Región Metropolitana,-33.438859,-70.707194,ACTIVO
SUC0123,FinBank Sucursal Barranquilla SUC0123,SUCURSAL,Barranquilla,Atlántico,10.971775,-74.765148,ACTIVO
SUC0124,FinBank Sucursal Lima SUC0124,SUCURSAL,Lima,Lima,-12.011442,-77.010567,INACTIVO
SUC0125,FinBank Sucursal Santiago SUC0125,SUCURSAL,Santiago,Región Metropolitana,-33.409742,-70.673326,ACTIVO
SUC0126,FinBank Corresponsal Arequipa SUC0126,CORRESPONSAL,Arequipa,Arequipa,-16.362453,-71.560492,ACTIVO
SUC0127,FinBank Sucursal Medellín SUC0127,SUCURSAL,Medellín,Antioquia,6.240687,-75.548627,ACTIVO
SUC0128,FinBank Corresponsal Bogotá SUC0128,CORRESPONSAL,Bogotá,Cundinamarca,4.744073,-74.113434,ACTIVO
SUC0129,FinBank Sucursal Medellín SUC0129,SUCURSAL,Medellín,Antioquia,6.251185,-75.564381,ACTIVO
SUC0130,FinBank Corresponsal Barranquilla SUC0130,CORRESPONSAL,Barranquilla,Atlántico,10.936684,-74.810088,ACTIVO
SUC0131,FinBank Sucursal Buenos Aires SUC0131,SUCURSAL,Buenos Aires,Buenos Aires,-34.583582,-58.403973,INACTIVO
SUC0132,FinBank Sucursal Ciudad de México SUC0132,SUCURSAL,Ciudad de México,Ciudad de México,19.406736,-99.142557,ACTIVO
SUC0133,FinBank Corresponsal Medellín SUC0133,CORRESPONSAL,Medellín,Antioquia,6.25879,-75.582118,ACTIVO
SUC0134,FinBank Corresponsal Bogotá SUC0134,CORRESPONSAL,Bogotá,Cundinamarca,4.70144,-74.097769,ACTIVO
SUC0135,FinBank Corresponsal Arequipa SUC0135,CORRESPONSAL,Arequipa,Arequipa,-16.405908,-71.54495,ACTIVO
SUC0136,FinBank Sucursal Monterrey SUC0136,SUCURSAL,Monterrey,Nuevo León,25.681975,-100.335438,ACTIVO
SUC0137,FinBank Corresponsal Barranquilla SUC0137,CORRESPONSAL,Barranquilla,Atlántico,10.930455,-74.777714,ACTIVO
SUC0138,FinBank Sucursal Bogotá SUC0138,SUCURSAL,Bogotá,Cundinamarca,4.73486,-74.09445,ACTIVO
SUC0139,FinBank Sucursal Buenos Aires SUC0139,SUCURSAL,Buenos Aires,Buenos Aires,-34.6254,-58.421547,ACTIVO
SUC0140,FinBank Sucursal Cali SUC0140,SUCURSAL,Cali,Valle del Cauca,3.431827,-76.511198,ACTIVO
SUC0141,FinBank Sucursal Lima SUC0141,SUCURSAL,Lima,Lima,-12.041064,-77.023058,ACTIVO
SUC0142,FinBank Sucursal Medellín SUC0142,SUCURSAL,Medellín,Antioquia,6.204459,-75.629973,ACTIVO
SUC0143,FinBank Corresponsal Barranquilla SUC0143,CORRESPONSAL,Barranquilla,Atlántico,10.936936,-74.826162,ACTIVO
SUC0144,FinBank Corresponsal Ciudad de México SUC0144,CORRESPONSAL,Ciudad de México,Ciudad de México,19.422671,-99.175792,ACTIVO
SUC0145,FinBank Sucursal Cali SUC0145,SUCURSAL,Cali,Valle del Cauca,3.482714,-76.487087,ACTIVO
SUC0146,FinBank Corresponsal Arequipa SUC0146,CORRESPONSAL,Arequipa,Arequipa,-16.382556,-71.526868,ACTIVO
SUC0147,FinBank Sucursal Arequipa SUC0147,SUCURSAL,Arequipa,Arequipa,-16.420962,-71.49665,ACTIVO
SUC0148,FinBank Corresponsal Valparaíso SUC0148,CORRESPONSAL,Valparaíso,Valparaíso,-33.066662,-71.600597,ACTIVO
SUC0149,FinBank Corresponsal Córdoba SUC0149,CORRESPONSAL,Córdoba,Córdoba,-31.449321,-64.217697,ACTIVO
SUC0150,FinBank Sucursal Cali SUC0150,SUCURSAL,Cali,Valle del Cauca,3.456799,-76.566347,ACTIVO
SUC0151,FinBank Corresponsal Medellín SUC0151,CORRESPONSAL,Medellín,Antioquia,6.223326,-75.608052,ACTIVO
SUC0152,FinBank Sucursal Medellín SUC0152,SUCURSAL,Medellín,Antioquia,6.201318,-75.607858,ACTIVO
SUC0153,FinBank Sucursal Buenos Aires SUC0153,SUCURSAL,Buenos Aires,Buenos Aires,-34.587582,-58.338233,ACTIVO
SUC0154,FinBank Sucursal Santiago SUC0154,SUCURSAL,Santiago,Región Metropolitana,-33.484001,-70.692737,ACTIVO
SUC0155,FinBank Sucursal Córdoba SUC0155,SUCURSAL,Córdoba,Córdoba,-31.439339,-64.163904,ACTIVO
SUC0156,FinBank Sucursal Ciudad de México SUC0156,SUCURSAL,Ciudad de México,Ciudad de México,19.42947,-99.152791,ACTIVO
SUC0157,FinBank Sucursal Arequipa SUC0157,SUCURSAL,Arequipa,Arequipa,-16.40962,-71.579456,ACTIVO
SUC0158,FinBank Sucursal Barranquilla SUC0158,SUCURSAL,Barranquilla,Atlántico,10.978871,-74.828714,ACTIVO
SUC0159,FinBank Corresponsal Buenos Aires SUC0159,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.594988,-58.429525,ACTIVO
SUC0160,FinBank Sucursal Buenos Aires SUC0160,SUCURSAL,Buenos Aires,Buenos Aires,-34.649677,-58.355973,ACTIVO
SUC0161,FinBank Corresponsal Guadalajara SUC0161,CORRESPONSAL,Guadalajara,Jalisco,20.627849,-103.341067,ACTIVO
SUC0162,FinBank Sucursal Ciudad de México SUC0162,SUCURSAL,Ciudad de México,Ciudad de México,19.429601,-99.142365,ACTIVO
SUC0163,FinBank Sucursal Cali SUC0163,SUCURSAL,Cali,Valle del Cauca,3.43458,-76.512633,INACTIVO
SUC0164,FinBank Sucursal Córdoba SUC0164,SUCURSAL,Córdoba,Córdoba,-31.41509,-64.193317,ACTIVO
SUC0165,FinBank Corresponsal Córdoba SUC0165,CORRESPONSAL,Córdoba,Córdoba,-31.429682,-64.18734,ACTIVO
SUC0166,FinBank Sucursal Arequipa SUC0166,SUCURSAL,Arequipa,Arequipa,-16.412802,-71.58208,ACTIVO
SUC0167,FinBank Sucursal Medellín SUC0167,SUCURSAL,Medellín,Antioquia,6.256741,-75.555201,ACTIVO
SUC0168,FinBank Sucursal Guadalajara SUC0168,SUCURSAL,Guadalajara,Jalisco,20.653512,-103.329775,INACTIVO
SUC0169,FinBank Sucursal Buenos Aires SUC0169,SUCURSAL,Buenos Aires,Buenos Aires,-34.573769,-58.360622,ACTIVO
SUC0170,FinBank Corresponsal Valparaíso SUC0170,CORRESPONSAL,Valparaíso,Valparaíso,-33.087879,-71.563474,ACTIVO
SUC0171,FinBank Corresponsal Ciudad de México SUC0171,CORRESPONSAL,Ciudad de México,Ciudad de México,19.447371,-99.167803,ACTIVO
SUC0172,FinBank Corresponsal Monterrey SUC0172,CORRESPONSAL,Monterrey,Nuevo León,25.663942,-100.282628,ACTIVO
SUC0173,FinBank Sucursal Arequipa SUC0173,SUCURSAL,Arequipa,Arequipa,-16.444536,-71.568439,ACTIVO
SUC0174,FinBank Corresponsal Cali SUC0174,CORRESPONSAL,Cali,Valle del Cauca,3.488003,-76.554375,ACTIVO
SUC0175,FinBank Sucursal Córdoba SUC0175,SUCURSAL,Córdoba,Córdoba,-31.419326,-64.156745,ACTIVO
SUC0176,FinBank Corresponsal Buenos Aires SUC0176,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.595708,-58.365606,ACTIVO
SUC0177,FinBank Sucursal Medellín SUC0177,SUCURSAL,Medellín,Antioquia,6.228712,-75.576008,ACTIVO
SUC0178,FinBank Sucursal Barranquilla SUC0178,SUCURSAL,Barranquilla,Atlántico,11.00546,-74.733223,ACTIVO
SUC0179,FinBank Sucursal Córdoba SUC0179,SUCURSAL,Córdoba,Córdoba,-31.429022,-64.206982,INACTIVO
SUC0180,FinBank Corresponsal Valparaíso SUC0180,CORRESPONSAL,Valparaíso,Valparaíso,-33.058592,-71.596331,INACTIVO
SUC0181,FinBank Corresponsal Medellín SUC0181,CORRESPONSAL,Medellín,Antioquia,6.290682,-75.618575,ACTIVO
SUC0182,FinBank Sucursal Ciudad de México SUC0182,SUCURSAL,Ciudad de México,Ciudad de México,19.470019,-99.139169,ACTIVO
SUC0183,FinBank Corresponsal Monterrey SUC0183,CORRESPONSAL,Monterrey,Nuevo León,25.651016,-100.279007,ACTIVO
SUC0184,FinBank Corresponsal Córdoba SUC0184,CORRESPONSAL,Córdoba,Córdoba,-31.37318,-64.204944,ACTIVO
SUC0185,FinBank Sucursal Barranquilla SUC0185,SUCURSAL,Barranquilla,Atlántico,11.003734,-74.745366,ACTIVO
SUC0186,FinBank Sucursal Monterrey SUC0186,SUCURSAL,Monterrey,Nuevo León,25.725344,-100.317305,ACTIVO
SUC0187,FinBank Corresponsal Bogotá SUC0187,CORRESPONSAL,Bogotá,Cundinamarca,4.724116,-74.030007,ACTIVO
SUC0188,FinBank Corresponsal Valparaíso SUC0188,CORRESPONSAL,Valparaíso,Valparaíso,-32.999366,-71.586663,ACTIVO
SUC0189,FinBank Sucursal Cali SUC0189,SUCURSAL,Cali,Valle del Cauca,3.471,-76.491658,ACTIVO
SUC0190,FinBank Sucursal Guadalajara SUC0190,SUCURSAL,Guadalajara,Jalisco,20.645546,-103.356531,ACTIVO
SUC0191,FinBank Sucursal Santiago SUC0191,SUCURSAL,Santiago,Región Metropolitana,-33.419648,-70.702302,ACTIVO
SUC0192,FinBank Sucursal Buenos Aires SUC0192,SUCURSAL,Buenos Aires,Buenos Aires,-34.585387,-58.381833,ACTIVO
SUC0193,FinBank Sucursal Santiago SUC0193,SUCURSAL,Santiago,Región Metropolitana,-33.473502,-70.693767,ACTIVO
SUC0194,FinBank Sucursal Guadalajara SUC0194,SUCURSAL,Guadalajara,Jalisco,20.677461,-103.383802,ACTIVO
SUC0195,FinBank Corresponsal Buenos Aires SUC0195,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.623785,-58.335397,ACTIVO
SUC0196,FinBank Sucursal Guadalajara SUC0196,SUCURSAL,Guadalajara,Jalisco,20.629622,-103.361131,ACTIVO
SUC0197,FinBank Corresponsal Buenos Aires SUC0197,CORRESPONSAL,Buenos Aires,Buenos Aires,-34.617804,-58.402013,ACTIVO
SUC0198,FinBank Corresponsal Santiago SUC0198,CORRESPONSAL,Santiago,Región Metropolitana,-33.459319,-70.71849,ACTIVO
SUC0199,FinBank Corresponsal Lima SUC0199,CORRESPONSAL,Lima,Lima,-12.005338,-77.018283,INACTIVO
SUC0200,FinBank Sucursal Córdoba SUC0200,SUCURSAL,Córdoba,Córdoba,-31.390214,-64.178094,ACTIVO
