id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
55,3270,CR015,1374.15,1374.15,748.95,68.71,2021-05-29,2022-05-29,0,0,ALTO
56,6529,CR011,31965.08,31965.08,16977.02,1598.25,2026-01-06,2027-01-06,0,5,BAJO
57,6549,CR022,7886.9,7886.9,6134.43,394.35,2016-10-13,2017-10-13,0,0,BAJO
58,2926,CR019,7775.21,7775.21,2404.6,388.76,2026-02-09,2027-02-09,0,6,BAJO
59,5140,CR014,7243.46,7243.46,3187.83,362.17,2024-08-24,2025-08-24,7,0,MEDIO
60,7145,CR001,12798.81,12798.81,7762.0,213.31,2025-12-23,2030-12-23,0,52,MEDIO
61,3229,CR012,16469.46,16056.84,2303.66,802.84,2025-12-07,2026-12-07,0,4,BAJO
62,4921,CR017,1273.21,1273.21,593.07,63.66,2023-04-06,2024-04-06,0,0,ALTO
63,3144,CR014,7654.51,7654.51,4692.28,382.73,2026-03-19,2027-03-19,50,7,ALTO
64,6654,CR018,1717.33,1717.33,832.89,85.87,2025-07-11,2026-07-11,0,0,ALTO
65,5280,CR015,1604.47,1604.47,1164.66,80.22,2025-05-16,2026-05-16,0,0,MEDIO
66,2781,CR022,9017.55,9017.55,6889.41,450.88,2025-07-16,2026-07-16,0,0,BAJO
67,3849,CR022,827.71,827.71,193.38,41.39,2026-03-20,2027-03-20,0,7,
68,7785,CR020,7098.43,7098.43,2888.63,354.92,2025-07-27,2026-07-27,19,0,MEDIO
69,6292,CR016,1499.13,1499.13,919.3,74.96,2026-06-05,2027-06-05,0,10,MEDIO
70,1747,CR025,1022.75,1022.75,89.66,51.14,2026-04-18,2027-04-18,0,8,MEDIO
71,4083,CR004,11846.93,11846.93,5558.51,493.62,2024-05-22,2026-05-22,0,0,BAJO
72,5199,CR025,7348.56,7348.56,5365.49,367.43,2024-03-24,2025-03-24,0,0,
73,7306,CR006,16154.83,16154.83,10983.62,192.32,2022-12-20,2029-12-20,0,40,BAJO
74,4544,CR025,17332.1,17332.1,1873.82,866.61,2019-04-13,2020-04-13,0,0,BAJO
75,4682,CR008,1722.72,1722.72,281.02,23.93,2025-03-07,2031-03-07,0,55,ALTO
76,6276,CR023,23056.11,23056.11,10535.68,1152.81,2025-08-24,2026-08-24,0,0,BAJO
77,6813,CR002,8102.52,8102.52,4631.74,112.54,2026-07-06,2032-07-06,0,71,MEDIO
78,9433,CR013,6338.86,5430.73,2880.79,271.54,2023-03-25,2024-03-25,27,0,MEDIO
79,8948,CR020,1826.28,1826.28,131.07,91.31,2020-12-18,2021-12-18,0,0,MEDIO
80,5508,CR022,1454.54,1454.54,538.46,72.73,2024-03-04,2025-03-04,30,0,ALTO
81,8752,CR001,4581.18,4581.18,1701.72,76.35,2025-09-26,2030-09-26,0,49,ALTO
82,7565,CR006,5754.27,5754.27,1744.27,68.5,2019-07-06,2026-07-06,0,0,MEDIO
83,6212,CR009,3884.04,3884.04,1206.62,64.73,2026-07-22,2031-07-22,16,59,MEDIO
84,8838,CR002,4999.59,4999.59,2693.86,69.44,2024-01-30,2030-01-30,0,41,ALTO
85,509,CR008,1397.12,1397.12,566.07,19.4,2019-05-21,2025-05-21,0,0,ALTO
86,1875,CR019,7686.54,7686.54,1351.62,384.33,2025-01-20,2026-01-20,0,0,MEDIO
87,9950,CR024,34367.14,34367.14,21248.4,1718.36,2019-05-02,2020-05-02,64,0,ALTO
88,5112,CR019,1451.49,1270.58,721.64,63.53,2025-06-10,2026-06-10,0,0,ALTO
89,3979,CR004,3637.37,3637.37,512.11,151.56,2025-01-20,2027-01-20,0,5,ALTO
90,9273,CR002,67360.19,67360.19,36081.99,935.56,2022-04-16,2028-04-16,0,20,BAJO
91,208,CR014,2555.83,2555.83,1716.32,127.79,2023-04-17,2024-04-17,0,0,MEDIO
92,2507,CR014,4232.96,4232.96,2777.45,211.65,2026-01-29,2027-01-29,0,5,MEDIO
93,8818,CR025,4900.99,4900.99,1147.43,245.05,2025-11-03,2026-11-03,0,3,MEDIO
94,1420,CR009,4467.34,4467.34,2462.14,74.46,2026-02-07,2031-02-07,0,54,ALTO
95,5512,CR001,12414.6,12414.6,8049.31,206.91,2025-03-20,2030-03-20,0,43,MEDIO
96,5577,CR009,46409.6,46409.6,20302.83,773.49,2024-06-03,2029-06-03,0,34,BAJO
97,3131,CR003,8620.34,8620.34,4895.98,179.59,2025-07-26,2029-07-26,0,35,MEDIO
98,8042,CR015,8550.53,8550.53,1987.82,427.53,2025-11-11,2026-11-11,0,3,MEDIO
99,9529,CR012,1683.15,1683.15,979.48,84.16,2024-03-13,2025-03-13,161,0,CRITICO
100,7435,CR009,29198.69,29198.69,4078.07,486.64,2026-08-03,2031-08-03,0,60,BAJO
101,8780,CR025,1473.28,1473.28,725.13,73.66,2026-02-20,2027-02-20,0,6,
102,8596,CR020,781.1,781.1,250.47,39.06,2020-03-29,2021-03-29,0,0,MEDIO
103,4953,CR001,41240.55,41240.55,18998.5,687.34,2023-08-09,2028-08-09,78,24,ALTO
104,2069,CR021,7210.77,7210.77,2899.07,360.54,2025-10-18,2026-10-18,0,2,MEDIO
105,7217,CR011,12765.46,12765.46,8509.29,638.27,2026-05-31,2027-05-31,0,9,BAJO
106,6566,CR016,3518.58,3518.58,2316.48,175.93,2018-07-16,2019-07-16,0,0,BAJO
107,4979,CR003,49817.54,49817.54,32035.45,1037.87,2024-02-22,2028-02-22,0,18,BAJO
108,3698,CR025,1188.37,1188.37,583.96,59.42,2026-07-31,2027-07-31,0,11,ALTO
109,7026,CR010,6980.41,6980.41,4342.18,349.02,2024-04-09,2025-04-09,0,0,MEDIO
110,3458,CR009,39812.84,39812.84,6664.65,663.55,2020-08-02,2025-08-02,0,0,BAJO
111,6694,CR015,20340.57,20340.57,11801.94,1017.03,2016-11-17,2017-11-17,0,0,BAJO
112,7439,CR003,3593.23,3412.44,2228.08,71.09,2024-12-05,2028-12-05,0,28,ALTO
113,3242,CR014,27869.41,27869.41,10541.05,1393.47,2025-12-26,2026-12-26,57,4,ALTO
114,978,CR006,4066.83,4066.83,1498.2,48.41,2023-11-09,2030-11-09,45,51,ALTO
115,4983,CR023,984.26,984.26,108.59,49.21,2025-02-18,2026-02-18,0,0,ALTO
116,654,CR014,2336.33,2336.33,1802.32,116.82,2024-01-05,2025-01-05,0,0,ALTO
117,9425,CR019,1916.34,1777.85,1106.41,88.89,2019-04-13,2020-04-13,0,0,ALTO
118,2871,CR016,6632.75,6632.75,3243.4,331.64,2022-12-11,2023-12-11,0,0,MEDIO
119,8057,CR003,12050.16,12050.16,8354.37,251.04,2021-06-04,2025-06-04,0,0,
120,5404,CR014,20405.11,20405.11,12658.82,1020.26,2026-06-30,2027-06-30,0,10,BAJO
121,602,CR015,720.15,720.15,558.62,36.01,2022-02-20,2023-02-20,73,0,ALTO
122,19,CR022,7216.2,7216.2,2318.81,360.81,2023-03-28,2024-03-28,0,0,MEDIO
123,8168,CR021,1051.47,1051.47,784.14,52.57,2018-09-29,2019-09-29,0,0,ALTO
124,7179,CR023,4908.27,4908.27,2858.27,245.41,2026-07-27,2027-07-27,0,11,MEDIO
125,5092,CR018,323.25,323.25,211.34,16.16,2024-12-22,2025-12-22,105,0,CRITICO
126,1925,CR021,17985.72,17985.72,4587.59,899.29,2026-05-03,2027-05-03,0,9,BAJO
127,7906,CR016,13655.96,13655.96,6821.61,682.8,2024-12-08,2025-12-08,0,0,BAJO
128,2237,CR003,1743.11,1743.11,1116.96,36.31,2022-12-17,2026-12-17,0,4,ALTO
129,4378,CR001,28485.17,28485.17,15523.15,474.75,2024-01-07,2029-01-07,0,29,BAJO
130,2435,CR015,6770.06,6770.06,2253.8,338.5,2025-07-14,2026-07-14,0,0,MEDIO
131,5273,CR007,49423.24,49423.24,31218.6,1372.87,2026-01-03,2029-01-03,0,29,BAJO
132,716,CR011,21170.58,21170.58,11596.54,1058.53,2025-08-15,2026-08-15,0,0,BAJO
133,2493,CR016,9753.77,9753.77,6849.83,487.69,2026-07-31,2027-07-31,0,11,MEDIO
134,7214,CR004,2866.78,2866.78,2015.92,119.45,2026-02-27,2028-02-27,0,18,ALTO
135,2530,CR003,12042.36,10408.53,1147.4,216.84,2024-12-19,2028-12-19,0,28,MEDIO
136,5384,CR022,7156.05,7156.05,5120.72,357.8,2023-09-22,2024-09-22,0,0,MEDIO
137,7995,CR018,361.03,361.03,95.87,18.05,2025-12-17,2026-12-17,0,4,ALTO
138,3728,CR024,453.64,428.45,244.43,21.42,2024-01-25,2025-01-25,0,0,ALTO
139,475,CR002,29731.24,29731.24,4732.54,412.93,2026-07-04,2032-07-04,0,71,BAJO
140,8703,CR014,1914.82,1914.82,971.04,95.74,2020-07-15,2021-07-15,0,0,ALTO
141,6268,CR020,1461.33,1461.33,772.21,73.07,2024-06-26,2025-06-26,0,0,ALTO
142,7530,CR009,15002.61,15002.61,9011.0,250.04,2026-07-16,2031-07-16,52,59,ALTO
143,1211,CR015,2863.09,2453.21,963.2,122.66,2023-02-09,2024-02-09,0,0,ALTO
144,4950,CR007,4997.18,4997.18,2393.36,138.81,2026-04-29,2029-04-29,0,32,ALTO
145,9418,CR010,2981.73,2981.73,167.2,149.09,2025-10-28,2026-10-28,0,2,ALTO
146,804,CR020,6471.03,6471.03,1440.38,323.55,2023-01-13,2024-01-13,0,0,MEDIO
147,5773,CR008,81830.89,81830.89,51193.66,1136.54,2024-04-27,2030-04-27,0,44,BAJO
148,2241,CR021,465.18,465.18,177.06,23.26,2023-08-25,2024-08-25,0,0,
149,9496,CR012,2330.9,2330.9,842.92,116.55,2019-11-15,2020-11-15,0,0,ALTO
150,3290,CR005,4039.31,4039.31,2969.36,48.09,2024-11-27,2031-11-27,0,63,ALTO
151,2696,CR009,4613.22,4538.5,1379.87,75.64,2023-01-18,2028-01-18,0,17,ALTO
152,1887,CR015,9740.25,9740.25,6534.96,487.01,2023-07-07,2024-07-07,24,0,MEDIO
153,6512,CR018,921.82,921.82,131.54,46.09,2024-04-12,2025-04-12,0,0,ALTO
154,6039,CR022,6494.07,6494.07,2335.2,324.7,2026-01-30,2027-01-30,12,5,MEDIO
155,3831,CR016,562.56,562.56,369.16,28.13,2026-02-06,2027-02-06,38,6,ALTO
156,7607,CR023,11626.28,11626.28,905.79,581.31,2017-03-21,2018-03-21,0,0,BAJO
157,8072,CR004,22915.76,22915.76,7522.3,954.82,2025-09-22,2027-09-22,0,13,BAJO
158,8851,CR014,1968.35,1968.35,1329.17,98.42,2021-06-11,2022-06-11,0,0,ALTO
159,6687,CR009,5490.74,5490.74,1246.86,91.51,2021-05-10,2026-05-10,0,0,MEDIO
160,5943,CR004,19713.92,19713.92,6872.37,821.41,2024-11-03,2026-11-03,0,3,MEDIO
161,3110,CR004,19235.16,19235.16,10219.22,801.47,2025-04-03,2027-04-03,0,8,MEDIO
162,9784,CR001,5758.68,5758.68,1174.22,95.98,2020-02-04,2025-02-04,0,0,MEDIO
163,9081,CR007,37591.49,37591.49,6039.66,1044.21,2020-02-11,2023-02-11,0,0,BAJO
164,9765,CR001,9159.12,9045.82,1636.14,150.76,2026-07-12,2031-07-12,0,59,BAJO
165,423,CR005,50743.02,50743.02,3137.74,604.08,2022-10-02,2029-10-02,0,38,BAJO
166,4348,CR002,56337.93,56337.93,22939.93,782.47,2023-06-14,2029-06-14,0,34,BAJO
167,5932,CR017,7155.66,7155.66,5008.84,357.78,2018-04-23,2019-04-23,32,0,ALTO
168,8544,CR010,1645.11,1335.1,904.33,66.75,2022-11-26,2023-11-26,14,0,ALTO
169,8033,CR023,18916.41,18916.41,3050.28,945.82,2017-05-28,2018-05-28,0,0,BAJO
170,2068,CR009,81215.87,81215.87,64645.46,1353.6,2025-06-29,2030-06-29,0,46,BAJO
171,8693,CR010,1634.29,1634.29,221.95,81.71,2024-04-23,2025-04-23,0,0,ALTO
172,9034,CR024,1771.34,1771.34,1187.8,88.57,2021-11-24,2022-11-24,0,0,MEDIO
173,6533,CR014,2324.03,2324.03,768.62,116.2,2025-05-07,2026-05-07,0,0,ALTO
174,2501,CR022,1869.07,1869.07,228.82,93.45,2023-11-18,2024-11-18,0,0,MEDIO
175,6106,CR005,3003.67,3003.67,1075.63,35.76,2026-07-14,2033-07-14,0,83,ALTO
176,6930,CR024,387.46,387.46,187.31,19.37,2022-07-31,2023-07-31,0,0,MEDIO
177,3486,CR005,3455.31,3455.31,1614.32,41.13,2018-05-17,2025-05-17,0,0,MEDIO
178,1883,CR025,11342.82,11342.82,8508.64,567.14,2025-11-06,2026-11-06,25,3,MEDIO
179,9122,CR001,14134.92,14134.92,2619.37,235.58,2025-12-26,2030-12-26,0,52,MEDIO
180,5063,CR011,1377.56,1377.56,482.96,68.88,2025-11-21,2026-11-21,0,3,ALTO
181,2325,CR024,1376.39,1376.39,457.16,68.82,2026-02-14,2027-02-14,0,6,ALTO
182,7433,CR011,28935.23,28935.23,13764.35,1446.76,2020-12-19,2021-12-19,0,0,BAJO
183,1392,CR002,1200.11,1200.11,304.92,16.67,2023-05-26,2029-05-26,0,33,MEDIO
184,6948,CR016,2017.69,2017.69,273.12,100.88,2021-05-26,2022-05-26,0,0,ALTO
185,7044,CR004,28497.39,28497.39,8016.73,1187.39,2024-12-08,2026-12-08,0,4,BAJO
186,3613,CR013,2961.11,2961.11,617.17,148.06,2023-05-30,2024-05-30,0,0,
187,2249,CR025,3533.12,3533.12,1317.82,176.66,2019-06-02,2020-06-02,0,0,MEDIO
188,2117,CR013,1831.46,1831.46,906.19,91.57,2025-10-28,2026-10-28,26,2,ALTO
189,6506,CR024,2253.81,2253.81,1208.28,112.69,2023-12-23,2024-12-23,19,0,MEDIO
190,6627,CR023,1388.24,1388.24,407.55,69.41,2023-07-13,2024-07-13,0,0,ALTO
191,7539,CR023,7518.62,7518.62,3696.56,375.93,2020-09-05,2021-09-05,0,0,MEDIO
192,8585,CR003,2280.95,2280.95,1446.89,47.52,2025-11-17,2029-11-17,0,39,ALTO
193,1252,CR017,2083.06,2083.06,1027.17,104.15,2022-07-24,2023-07-24,42,0,ALTO
194,2420,CR008,55140.23,55140.23,34195.85,765.84,2026-07-12,2032-07-12,0,71,BAJO
195,1235,CR006,4780.81,4780.81,2963.66,56.91,2026-06-05,2033-06-05,0,82,MEDIO
196,7355,CR022,1871.06,1871.06,1637.81,93.55,2026-03-28,2027-03-28,132,7,CRITICO
197,5180,CR005,2478.93,2478.93,634.62,29.51,2024-10-06,2031-10-06,0,62,MEDIO
198,921,CR012,6551.36,6551.36,2139.37,327.57,2022-04-29,2023-04-29,0,0,MEDIO
199,4704,CR003,3401.0,2779.15,1103.42,57.9,2023-07-16,2027-07-16,0,11,ALTO
200,9082,CR024,7375.26,7375.26,2999.68,368.76,2022-04-24,2023-04-24,0,0,MEDIO
201,2472,CR002,33515.69,33515.69,22706.95,465.5,2023-11-24,2029-11-24,101,39,CRITICO
202,2828,CR002,8716.16,8716.16,4422.18,121.06,2026-03-12,2032-03-12,0,67,MEDIO
203,5963,CR012,9425.56,9425.56,841.46,471.28,2025-07-28,2026-07-28,0,0,MEDIO
204,5483,CR003,1983.61,1983.61,1175.88,41.33,2020-04-08,2024-04-08,0,0,ALTO
205,9875,CR005,2000.13,2000.13,1664.57,23.81,2021-12-01,2028-12-01,40,28,ALTO
206,6422,CR005,3177.69,2729.07,808.78,32.49,2021-06-03,2028-06-03,0,22,MEDIO
207,2094,CR022,1494.81,1479.06,817.69,73.95,2023-12-31,2024-12-31,0,0,ALTO
208,8332,CR012,3127.61,3127.61,1953.56,156.38,2025-09-05,2026-09-05,0,1,MEDIO
209,3146,CR008,4999.89,4999.89,2896.08,69.44,2024-10-06,2030-10-06,4,50,ALTO
210,8844,CR024,7302.09,7302.09,2716.94,365.1,2026-01-24,2027-01-24,20,5,MEDIO
211,6173,CR005,1230.11,1230.11,214.23,14.64,2026-02-16,2033-02-16,0,78,ALTO
212,7171,CR002,11162.88,11162.88,5098.2,155.04,2022-12-17,2028-12-17,80,28,ALTO
213,7356,CR008,13010.17,13010.17,6535.17,180.7,2026-05-15,2032-05-15,37,69,ALTO
214,9346,CR015,6231.76,6231.76,2268.33,311.59,2025-11-16,2026-11-16,0,3,MEDIO
215,2656,CR007,44037.78,44037.78,18075.0,1223.27,2022-06-26,2025-06-26,0,0,BAJO
216,6082,CR018,7605.76,7605.76,2632.59,380.29,2025-12-23,2026-12-23,10,4,MEDIO
217,2627,CR009,11739.79,11739.79,8920.01,195.66,2025-09-13,2030-09-13,0,49,MEDIO
218,3638,CR015,2711.57,2383.01,540.55,119.15,2022-08-18,2023-08-18,0,0,ALTO
219,1338,CR012,4571.77,4571.77,2214.61,228.59,2016-11-24,2017-11-24,21,0,MEDIO
220,2393,CR005,672.36,598.24,240.39,7.12,2021-06-17,2028-06-17,0,22,ALTO
221,87,CR003,585.52,585.52,348.63,12.2,2022-08-30,2026-08-30,0,0,ALTO
222,8648,CR014,11667.8,11667.8,2669.94,583.39,2020-10-23,2021-10-23,0,0,BAJO
223,7490,CR003,23325.74,21305.27,10253.92,443.86,2019-04-17,2023-04-17,0,0,BAJO
224,2353,CR010,6004.67,6004.67,1143.8,300.23,2020-09-05,2021-09-05,0,0,
225,1403,CR017,9822.58,9822.58,6284.58,491.13,2024-04-03,2025-04-03,0,0,MEDIO
226,8317,CR018,2122.01,2122.01,1667.43,106.1,2026-07-31,2027-07-31,0,11,MEDIO
227,4156,CR024,2097.45,2097.45,1138.56,104.87,2023-09-25,2024-09-25,0,0,MEDIO
228,1699,CR025,1289.24,1289.24,592.42,64.46,2023-04-20,2024-04-20,0,0,ALTO
229,2869,CR025,1463.96,1304.27,126.94,65.21,2023-09-28,2024-09-28,0,0,MEDIO
230,7499,CR002,9401.64,9401.64,7646.86,130.58,2026-04-17,2032-04-17,11,68,
231,8445,CR013,2972.81,2972.81,1590.97,148.64,2026-05-19,2027-05-19,0,9,ALTO
232,4688,CR012,2655.35,2655.35,1724.67,132.77,2023-12-03,2024-12-03,0,0,ALTO
233,7160,CR013,2358.27,2358.27,448.34,117.91,2026-02-07,2027-02-07,0,6,ALTO
234,8152,CR012,23864.66,23864.66,2605.91,1193.23,2018-11-15,2019-11-15,0,0,BAJO
235,9871,CR006,13182.12,13182.12,3581.98,156.93,2026-02-03,2033-02-03,0,78,MEDIO
236,7306,CR020,6305.98,6305.98,515.62,315.3,2024-01-03,2025-01-03,0,0,BAJO
237,5777,CR020,1996.86,1996.86,1054.61,99.84,2023-10-26,2024-10-26,0,0,ALTO
238,5953,CR017,2502.74,2502.74,1718.14,125.14,2026-07-22,2027-07-22,0,11,ALTO
239,7180,CR002,6893.45,6893.45,5253.5,95.74,2023-11-27,2029-11-27,0,39,MEDIO
240,531,CR020,560.84,560.84,349.02,28.04,2024-11-04,2025-11-04,0,0,ALTO
241,9404,CR005,2882.57,2882.57,2220.7,34.32,2024-03-31,2031-03-31,0,55,MEDIO
242,425,CR024,616.28,616.28,389.01,30.81,2024-07-20,2025-07-20,0,0,ALTO
243,7312,CR007,4983.64,4983.64,756.5,138.43,2026-08-05,2029-08-05,0,36,ALTO
244,1214,CR015,931.64,931.64,722.65,46.58,2018-03-11,2019-03-11,0,0,ALTO
245,5237,CR022,890.62,890.62,244.89,44.53,2024-01-22,2025-01-22,0,0,ALTO
246,2581,CR023,16514.77,16514.77,7127.23,825.74,2020-11-17,2021-11-17,0,0,BAJO
247,1989,CR007,4064.3,4064.3,1892.0,112.9,2026-05-07,2029-05-07,0,33,ALTO
248,6045,CR015,2509.15,2509.15,1179.58,125.46,2023-10-25,2024-10-25,3,0,ALTO
249,7843,CR017,1526.99,1526.99,1189.96,76.35,2026-01-04,2027-01-04,0,5,ALTO
250,1216,CR015,36645.83,36645.83,22105.38,1832.29,2024-11-24,2025-11-24,25,0,MEDIO
251,9631,CR006,16516.72,16516.72,12507.53,196.63,2021-12-30,2028-12-30,32,28,ALTO
252,8489,CR005,9561.87,9561.87,7225.7,113.83,2022-08-14,2029-08-14,0,36,BAJO
253,4654,CR003,27518.16,27518.16,14275.51,573.29,2025-03-08,2029-03-08,0,31,BAJO
254,8741,CR003,2761.58,2761.58,492.67,57.53,2026-05-18,2030-05-18,0,45,
255,9915,CR011,8897.71,8897.71,2891.79,444.89,2026-04-12,2027-04-12,3,8,MEDIO
256,9450,CR009,3430.08,3430.08,249.42,57.17,2022-11-20,2027-11-20,0,15,ALTO
257,8939,CR010,41047.68,41047.68,23140.35,2052.38,2024-08-04,2025-08-04,0,0,BAJO
258,4874,CR015,682.43,682.43,271.83,34.12,2024-03-25,2025-03-25,0,0,
259,5574,CR020,544.24,544.24,378.56,27.21,2026-07-25,2027-07-25,0,11,ALTO
260,6533,CR005,3922.99,3922.99,1568.62,46.7,2024-03-10,2031-03-10,0,55,ALTO
261,4383,CR015,1119.8,1119.8,714.94,55.99,2026-07-17,2027-07-17,58,11,
262,4068,CR006,4160.65,3898.59,1651.83,46.41,2018-12-10,2025-12-10,0,0,ALTO
263,8434,CR015,1746.9,1746.9,602.56,87.35,2021-01-21,2022-01-21,0,0,ALTO
264,7492,CR008,1468.15,1468.15,731.34,20.39,2024-05-06,2030-05-06,0,45,MEDIO
265,7711,CR010,6756.84,6756.84,1678.09,337.84,2023-10-29,2024-10-29,0,0,MEDIO
266,5993,CR025,985.53,985.53,193.16,49.28,2024-07-10,2025-07-10,0,0,ALTO
267,9065,CR010,3514.72,3514.72,2351.29,175.74,2026-03-30,2027-03-30,0,7,
268,1947,CR005,4887.87,4887.87,1584.67,58.19,2022-12-30,2029-12-30,0,40,ALTO
269,2364,CR007,38073.89,38073.89,5816.83,1057.61,2021-03-09,2024-03-09,0,0,BAJO
270,5457,CR016,6635.33,6635.33,1963.89,331.77,2026-08-01,2027-08-01,0,12,MEDIO
271,5219,CR006,2268.3,2268.3,685.66,27.0,2025-11-06,2032-11-06,0,75,ALTO
272,8352,CR018,4939.08,4939.08,1611.47,246.95,2023-03-15,2024-03-15,0,0,MEDIO
273,1796,CR014,7085.91,7085.91,2229.62,354.3,2026-04-18,2027-04-18,21,8,MEDIO
